81.00 	41.00 	250.00 	1.98 	6.10 	9.00 	1.00 	12.00 	11.11 	2.44 	1
80.00 	42.00 	238.00 	1.91 	5.67 	0.00 	0.00 	0.00 	0.00 	0.00 	1
81.00 	26.00 	196.00 	3.12 	7.54 	9.80 	1.80 	15.00 	12.04 	6.73 	1
125.00 	63.00 	368.00 	1.98 	5.84 	20.00 	1.00 	18.00 	16.00 	1.59 	1
146.00 	45.00 	350.00 	3.24 	7.78 	42.80 	2.80 	43.00 	29.28 	6.11 	1
109.00 	55.00 	316.00 	1.98 	5.75 	0.80 	0.80 	3.00 	0.69 	1.36 	1
161.00 	57.00 	400.00 	2.83 	7.02 	19.00 	1.00 	18.00 	11.80 	1.75 	1
136.00 	66.00 	402.00 	2.06 	6.09 	9.00 	1.00 	12.00 	6.62 	1.52 	1
156.00 	64.00 	424.00 	2.44 	6.63 	18.00 	2.00 	24.00 	11.54 	3.13 	1
95.00 	38.00 	254.00 	2.50 	6.68 	9.00 	1.00 	12.00 	9.47 	2.64 	1
163.00 	40.00 	350.00 	4.08 	8.75 	9.00 	1.00 	12.00 	5.52 	2.50 	1
112.00 	54.00 	318.00 	2.07 	5.89 	0.00 	0.00 	0.00 	0.00 	0.00 	1
130.00 	55.00 	348.00 	2.36 	6.33 	24.00 	2.00 	28.00 	18.46 	3.64 	1
134.00 	54.00 	362.00 	2.48 	6.70 	15.00 	1.00 	16.00 	11.19 	1.85 	1
167.00 	59.00 	428.00 	2.83 	7.25 	27.00 	1.00 	24.00 	16.17 	1.70 	1
159.00 	74.00 	452.00 	2.15 	6.11 	27.00 	2.00 	30.00 	16.98 	2.70 	1
195.00 	63.00 	468.00 	3.10 	7.43 	66.00 	4.00 	64.00 	33.85 	6.35 	1
176.00 	70.00 	484.00 	2.51 	6.91 	0.00 	0.00 	0.00 	0.00 	0.00 	1
141.00 	56.00 	366.00 	2.52 	6.54 	9.00 	1.00 	12.00 	6.38 	1.79 	1
146.00 	38.00 	238.00 	3.84 	8.63 	45.00 	2.00 	42.00 	30.82 	5.26 	1
142.00 	45.00 	328.00 	2.52 	6.54 	9.00 	1.00 	12.00 	6.38 	1.79 	1
155.00 	61.00 	418.00 	2.54 	6.85 	0.00 	0.00 	0.00 	0.00 	0.00 	1
200.00 	91.00 	576.00 	2.20 	6.33 	27.00 	2.00 	30.00 	13.50 	2.20 	1
114.00 	61.00 	346.00 	1.87 	5.67 	0.00 	0.00 	0.00 	0.00 	0.00 	1
178.00 	66.00 	462.00 	2.70 	7.00 	28.80 	2.80 	33.00 	16.15 	4.17 	1
92.00 	50.00 	292.00 	1.84 	5.84 	12.00 	1.00 	14.00 	13.04 	2.00 	1
165.00 	63.00 	430.00 	2.62 	6.83 	0.00 	0.00 	0.00 	0.00 	0.00 	1
